Horsepower,Weight,Acceleration,Model_Year,Origin,MPG_Pred
130.0,3504.0,12.0,70,1,18.0
165.0,3693.0,11.5,70,1,15.0
150.0,3436.0,11.0,70,1,18.0
150.0,3433.0,12.0,70,1,16.0
140.0,3449.0,10.5,70,1,17.0
198.0,4341.0,10.0,70,1,15.0
220.0,4354.0,9.0,70,1,14.0
215.0,4312.0,8.5,70,1,14.0
225.0,4425.0,10.0,70,1,14.0
190.0,3850.0,8.5,70,1,15.0
170.0,3563.0,10.0,70,1,15.0
160.0,3609.0,8.0,70,1,14.0
150.0,3761.0,9.5,70,1,15.0
225.0,3086.0,10.0,70,1,14.0
95.0,2372.0,15.0,70,3,24.0
95.0,2833.0,15.5,70,1,22.0
97.0,2774.0,15.5,70,1,18.0
85.0,2587.0,16.0,70,1,21.0
88.0,2130.0,14.5,70,3,27.0
46.0,1835.0,20.5,70,2,26.0
87.0,2672.0,17.5,70,2,25.0
90.0,2430.0,14.5,70,2,24.0
95.0,2375.0,17.5,70,2,25.0
113.0,2234.0,12.5,70,2,26.0
90.0,2648.0,15.0,70,1,21.0